44,3*x^2 + 5*x + 3,3
56,3*x^2 + 2*x + 3,3
77,3*x^2 + 5*x + 3,3
92,27*x^2 + 38*x + 27,3
140,81*x^4 + 6*x^3 - 149*x^2 + 6*x + 81,3
152,3*x^2 + 2*x + 3,3
44,3*x^2 + 5*x + 3,3
56,3*x^2 + 2*x + 3,3
77,3*x^2 + 5*x + 3,3
92,27*x^2 + 38*x + 27,3
140,81*x^4 + 6*x^3 - 149*x^2 + 6*x + 81,3
152,3*x^2 + 2*x + 3,3
161,27*x^2 + 38*x + 27,3
188,243*x^2 - 298*x + 243,3
209,3*x^2 + 5*x + 3,3
221,9*x^4 - 2*x^3 - 5*x^2 - 2*x + 9,3
236,27*x^2 + 5*x + 27,3
248,27*x^2 - 46*x + 27,3
284,2187*x^2 - 4090*x + 2187,3
305,9*x^4 + 5*x^3 + 17*x^2 + 5*x + 9,3
329,243*x^2 - 298*x + 243,3
332,27*x^2 + 29*x + 27,3
341,27*x^2 - 10*x + 27,3
344,3*x^2 + 2*x + 3,3
377,9*x^4 - 5*x^3 + x^2 - 5*x + 9,3
380,6561*x^4 + 2556*x^3 + 7366*x^2 + 2556*x + 6561,3
413,27*x^2 + 5*x + 27,3
428,27*x^2 + 53*x + 27,3
437,27*x^2 + 38*x + 27,3
440,81*x^4 - 210*x^3 + 259*x^2 - 210*x + 81,3
473,243*x^6 + 360*x^5 - 240*x^4 - 725*x^3 - 240*x^2 + 360*x + 243,3
476,59049*x^4 - 60348*x^3 + 7222*x^2 - 60348*x + 59049,3
497,2187*x^2 - 4090*x + 2187,3
524,243*x^2 - 355*x + 243,3
536,3*x^2 + 2*x + 3,3
545,9*x^4 + 19*x^3 + 25*x^2 + 19*x + 9,3
572,59049*x^4 + 16254*x^3 - 74981*x^2 + 16254*x + 59049,3
581,27*x^2 + 29*x + 27,3
584,9*x^4 + x^3 + 16*x^2 + x + 9,3
620,531441*x^4 - 503334*x^3 + 274411*x^2 - 503334*x + 531441,3
632,243*x^2 + 482*x + 243,3
665,6561*x^4 - 3834*x^3 + 7771*x^2 - 3834*x + 6561,3
668,177147*x^2 - 922*x + 177147,3
689,6561*x^8 - 11340*x^7 - 882*x^6 + 4333*x^5 + 2665*x^4 + 4333*x^3 - 882*x^2 - 11340*x + 6561,3
713,19683*x^2 - 28234*x + 19683,3
716,243*x^2 + 230*x + 243,3
728,729*x^4 - 900*x^3 + 1366*x^2 - 900*x + 729,3
737,3*x^2 + 5*x + 3,3
749,27*x^2 + 53*x + 27,3
764,1594323*x^2 - 2784490*x + 1594323,3
776,729*x^4 - 2012*x^3 + 2710*x^2 - 2012*x + 729,3
812,531441*x^4 - 1284822*x^3 + 1810363*x^2 - 1284822*x + 531441,3
824,243*x^2 + 482*x + 243,3
860,4782969*x^4 + 1970244*x^3 + 7105174*x^2 + 1970244*x + 4782969,3
869,243*x^2 - 475*x + 243,3
893,243*x^2 - 298*x + 243,3
905,6561*x^8 + 25839*x^7 + 31311*x^6 - 2888*x^5 - 29837*x^4 - 2888*x^3 + 31311*x^2 + 25839*x + 6561,3
908,243*x^2 + 422*x + 243,3
917,243*x^2 - 355*x + 243,3
920,729*x^4 - 684*x^3 + 310*x^2 - 684*x + 729,3
956,14348907*x^2 + 20563910*x + 14348907,3
989,27*x^2 + 38*x + 27,3
